3 ,2.272 ,2:05.227
11 ,7.795 ,2:03.044
5 ,9.134 ,2:01.071
33 ,10.581 ,2:01.301
7 ,11.752 ,2:00.435
55 ,12.960 ,2:00.866
27 ,15.528 ,2:03.110
9 ,16.546 ,2:01.016
22 ,17.968 ,2:03.721
19 ,19.889 ,2:00.942
13 ,26.409 ,2:03.088
8 ,75.947 ,1:59.612
14 ,82.162 ,1:58.334
53 ,103.212 ,2:01.828
12 ,110.404 ,1:59.429
44 ,0,1:57.076
6 ,0.859 ,1:57.162
26 ,1.463 ,1:57.181
3 ,2.126 ,1:56.930
11 ,8.960 ,1:58.241
5 ,9.470 ,1:57.412
33 ,10.755 ,1:57.250
7 ,12.126 ,1:57.450
55 ,13.076 ,1:57.192
27 ,16.175 ,1:57.723
9 ,18.881 ,1:59.411
22 ,21.457 ,2:00.565
19 ,22.028 ,1:59.215
13 ,30.429 ,2:01.096
8 ,PIT  ,2:01.697
14 ,84.061 ,1:58.975
53 ,108.743 ,2:02.607
12 ,113.071 ,1:59.743
44 ,0,1:57.812
6 ,1.230 ,1:58.183
26 ,1.574 ,1:57.923
3 ,2.184 ,1:57.870
11 ,9.298 ,1:58.150
5 ,9.853 ,1:58.195
33 ,10.896 ,1:57.953
7 ,12.086 ,1:57.772
55 ,12.633 ,1:57.369
27 ,15.934 ,1:57.571
9 ,20.412 ,1:59.343
22 ,23.077 ,1:59.432
19 ,24.025 ,1:59.809
13 ,33.146 ,2:00.529
14 ,85.808 ,1:59.559
53 ,113.838 ,2:02.907
12 ,115.643 ,2:00.384
44 ,0,1:58.280
6 ,1.099 ,1:58.149
26 ,1.591 ,1:58.297
3 ,2.124 ,1:58.220
11 ,9.215 ,1:58.197
5 ,10.056 ,1:58.483
33 ,10.667 ,1:58.051
7 ,11.882 ,1:58.076
55 ,12.564 ,1:58.211
27 ,15.980 ,1:58.326
8 ,PIT  ,2:54.693
9 ,22.759 ,2:00.627
19 ,24.779 ,1:59.034
22 ,25.681 ,2:00.884
13 ,35.353 ,2:00.487
14 ,86.992 ,1:59.464
44 ,0,1:59.224
6 ,0.844 ,1:58.969
26 ,1.028 ,1:58.661
3 ,1.114 ,1:58.214
53 ,1 LAP ,2:06.501
12 ,1 LAP ,2:05.082
11 ,8.710 ,1:58.719
5 ,9.257 ,1:58.425
33 ,9.735 ,1:58.292
7 ,10.471 ,1:57.813
55 ,10.970 ,1:57.630
27 ,13.891 ,1:57.135
9 ,23.347 ,1:59.812
19 ,24.019 ,1:58.464
22 ,26.168 ,1:59.711
13 ,36.184 ,2:00.055
14 ,87.865 ,2:00.097
44 ,0,1:57.269
3 ,0.525 ,1:56.680
6 ,1.716 ,1:58.141
26 ,2.592 ,1:58.833
12 ,1 LAP ,2:01.570
53 ,1 LAP ,2:03.254
11 ,9.829 ,1:58.388
5 ,10.432 ,1:58.444
33 ,11.409 ,1:58.943
55 ,12.079 ,1:58.378
7 ,12.821 ,1:59.619
27 ,13.618 ,1:56.996
19 ,24.859 ,1:58.109
9 ,26.585 ,2:00.507
22 ,27.914 ,1:59.015
13 ,38.124 ,1:59.209
14 ,89.426 ,1:58.830
44 ,0,1:57.090
3 ,0.333 ,1:56.898
6 ,1.303 ,1:56.677
26 ,2.450 ,1:56.948
11 ,11.021 ,1:58.282
5 ,11.747 ,1:58.405
33 ,12.297 ,1:57.978
7 ,13.081 ,1:57.350
55 ,13.663 ,1:58.674
27 ,14.827 ,1:58.299
12 ,1 LAP ,2:06.411
53 ,1 LAP ,2:07.115
19 ,24.951 ,1:57.182
9 ,29.007 ,1:59.512
22 ,29.673 ,1:58.849
13 ,39.839 ,1:58.805
14 ,89.905 ,1:57.569
3 ,0,1:55.362
44 ,0.873 ,1:56.568
6 ,1.780 ,1:56.172
26 ,2.750 ,1:55.995
11 ,11.920 ,1:56.594
5 ,12.625 ,1:56.573
33 ,13.652 ,1:57.050
7 ,14.512 ,1:57.126
55 ,15.027 ,1:57.059
27 ,15.950 ,1:56.818
12 ,1 LAP ,1:59.779
53 ,1 LAP ,2:00.693
19 ,25.936 ,1:56.680
9 ,31.363 ,1:58.051
22 ,32.042 ,1:58.064
13 ,42.656 ,1:58.512
14 ,91.222 ,1:57.012
3 ,0,1:54.685
44 ,2.637 ,1:56.449
6 ,3.424 ,1:56.329
26 ,4.060 ,1:55.995
11 ,13.773 ,1:56.538
5 ,14.438 ,1:56.498
33 ,15.218 ,1:56.251
7 ,15.814 ,1:55.987
55 ,16.398 ,1:56.056
27 ,18.026 ,1:56.761
12 ,1 LAP ,1:59.030
19 ,27.739 ,1:56.488
53 ,1 LAP ,2:01.600
9 ,PIT  ,1:58.109
22 ,35.598 ,1:58.241
13 ,45.832 ,1:57.861
14 ,92.415 ,1:55.878
3 ,0,1:54.650
44 ,3.952 ,1:55.965
6 ,4.564 ,1:55.790
26 ,5.204 ,1:55.794
11 ,14.978 ,1:55.855
5 ,17.091 ,1:57.303
33 ,18.011 ,1:57.443
7 ,18.567 ,1:57.403
55 ,18.881 ,1:57.133
27 ,20.186 ,1:56.810
19 ,30.240 ,1:57.151
12 ,1 LAP ,2:01.208
53 ,1 LAP ,1:59.683
22 ,PIT  ,1:58.450
13 ,48.139 ,1:56.957
9 ,64.814 ,2:24.677
14 ,93.464 ,1:55.699
3 ,0,1:54.194
6 ,6.494 ,1:56.124
26 ,8.133 ,1:57.123
44 ,PIT  ,1:58.981
11 ,16.734 ,1:55.950
5 ,PIT  ,1:58.072
7 ,20.995 ,1:56.622
55 ,21.370 ,1:56.683
33 ,PIT  ,1:57.642
