LAP,TIME,LAP_2,TIME_2,NO,DRIVER
25 ,1:32.174 ,54 ,1:31.745 ,33 ,M. VERSTAPPEN
26 ,1:32.180 ,55 ,1:32.787 ,33 ,M. VERSTAPPEN
27 ,1:32.351 ,56 ,1:33.744 ,33 ,M. VERSTAPPEN
28 ,1:32.349 ,57 ,1:33.387 ,33 ,M. VERSTAPPEN
29 ,1:32.382,"","" ,33 ,M. VERSTAPPEN
1 ,16:08:54 ,30 ,1:32.625 ,44 ,L. HAMILTON
2 ,1:33.401 ,31 ,1:33.814 ,44 ,L. HAMILTON
3 ,1:33.092 ,32 ,1:31.404 ,44 ,L. HAMILTON
4 ,1:32.062 ,33 ,1:30.961 ,44 ,L. HAMILTON
5 ,1:31.629 ,34 ,1:31.070 ,44 ,L. HAMILTON
6 ,1:32.281 ,35 ,1:31.394 ,44 ,L. HAMILTON
7 ,1:33.466 ,36 ,1:30.981 ,44 ,L. HAMILTON
8 ,1:33.131 ,37 ,1:31.277 ,44 ,L. HAMILTON
9 ,1:33.621 ,38 ,1:31.585 ,44 ,L. HAMILTON
10 ,1:34.233 ,39 ,1:31.434 ,44 ,L. HAMILTON
11 ,1:33.780 ,40 ,1:31.788 ,44 ,L. HAMILTON
12 ,1:34.285 ,41 ,1:32.419 ,44 ,L. HAMILTON
13 ,1:35.146 ,42 ,1:31.203 ,44 ,L. HAMILTON
14 ,1:33.859 ,43 ,1:30.808 ,44 ,L. HAMILTON
15 ,1:34.209 ,44 ,1:31.056 ,44 ,L. HAMILTON
16 ,1:53.739 ,45 ,1:31.578 ,44 ,L. HAMILTON
17 ,1:56.659 ,46 ,1:31.203 ,44 ,L. HAMILTON
18 ,20:43.047 ,47 ,1:31.052 ,44 ,L. HAMILTON
19 ,2:16.377 ,48 ,1:30.646 ,44 ,L. HAMILTON
20 ,1:33.381 ,49 ,1:30.684 ,44 ,L. HAMILTON
21 ,1:31.768 ,50 ,1:30.913 ,44 ,L. HAMILTON
22 ,1:31.728 ,51 ,1:32.073 ,44 ,L. HAMILTON
23 ,1:31.784 ,52 ,1:31.106 ,44 ,L. HAMILTON
24 ,1:31.882 ,53 ,1:30.857 ,44 ,L. HAMILTON
25 ,1:32.380 ,54 ,1:31.044 ,44 ,L. HAMILTON
26 ,1:32.139 ,55 ,1:31.166 ,44 ,L. HAMILTON
27 ,1:32.607 ,56 ,1:32.186 ,44 ,L. HAMILTON
28 ,1:32.516 ,57 ,1:33.348 ,44 ,L. HAMILTON
29 ,1:32.459,"","" ,44 ,L. HAMILTON
1 ,16:08:55 ,30 ,1:32.694 ,55 ,C. SAINZ
2 ,1:33.530 ,31 ,1:53.053 ,55 ,C. SAINZ
3 ,1:32.952 ,32 ,1:37.333 ,55 ,C. SAINZ
4 ,1:33.653 ,33 ,1:32.709 ,55 ,C. SAINZ
5 ,1:33.372 ,34 ,1:32.330 ,55 ,C. SAINZ
6 ,1:33.322 ,35 ,1:33.931 ,55 ,C. SAINZ
7 ,1:33.768 ,36 ,1:34.173 ,55 ,C. SAINZ
8 ,1:52.689 ,37 ,1:33.317 ,55 ,C. SAINZ
9 ,1:37.863 ,38 ,1:34.116 ,55 ,C. SAINZ
10 ,1:34.244 ,39 ,1:33.030 ,55 ,C. SAINZ
11 ,1:33.197 ,40 ,1:33.747 ,55 ,C. SAINZ
12 ,1:32.154 ,41 ,1:32.966 ,55 ,C. SAINZ
13 ,1:32.285 ,42 ,1:32.278 ,55 ,C. SAINZ
14 ,1:35.182 ,43 ,1:31.805 ,55 ,C. SAINZ
15 ,1:33.153 ,44 ,1:31.759 ,55 ,C. SAINZ
16 ,1:33.092 ,45 ,1:31.813 ,55 ,C. SAINZ
17 ,1:50.557 ,46 ,1:32.284 ,55 ,C. SAINZ
18 ,20:42.495 ,47 ,1:33.110 ,55 ,C. SAINZ
19 ,2:19.461 ,48 ,1:33.072 ,55 ,C. SAINZ
20 ,1:32.933 ,49 ,1:32.849 ,55 ,C. SAINZ
21 ,1:31.725 ,50 ,1:32.935 ,55 ,C. SAINZ
22 ,1:31.744 ,51 ,1:32.738 ,55 ,C. SAINZ
23 ,1:31.671 ,52 ,1:33.992 ,55 ,C. SAINZ
24 ,1:32.118 ,53 ,1:33.168 ,55 ,C. SAINZ
25 ,1:32.166 ,54 ,1:33.582 ,55 ,C. SAINZ
26 ,1:32.349 ,55 ,1:34.353 ,55 ,C. SAINZ
27 ,1:32.617 ,56 ,1:32.734 ,55 ,C. SAINZ
28 ,1:32.417 ,57 ,1:34.064 ,55 ,C. SAINZ
29 ,1:32.536,"","" ,55 ,C. SAINZ
1 ,16:09:01 ,30 ,1:33.704 ,77 ,V. BOTTAS
2 ,1:35.436 ,31 ,1:33.483 ,77 ,V. BOTTAS
3 ,1:35.314 ,32 ,1:33.509 ,77 ,V. BOTTAS
4 ,1:34.284 ,33 ,1:33.539 ,77 ,V. BOTTAS
5 ,1:34.591 ,34 ,1:33.039 ,77 ,V. BOTTAS
6 ,1:33.438 ,35 ,1:33.265 ,77 ,V. BOTTAS
7 ,1:35.177 ,36 ,1:33.209 ,77 ,V. BOTTAS
8 ,1:35.049 ,37 ,1:33.299 ,77 ,V. BOTTAS
9 ,1:33.927 ,38 ,1:33.535 ,77 ,V. BOTTAS
10 ,1:33.584 ,39 ,1:33.234 ,77 ,V. BOTTAS
11 ,1:34.427 ,40 ,1:33.373 ,77 ,V. BOTTAS
12 ,1:36.008 ,41 ,1:33.216 ,77 ,V. BOTTAS
13 ,1:33.674 ,42 ,1:33.146 ,77 ,V. BOTTAS
14 ,1:37.625 ,43 ,1:33.120 ,77 ,V. BOTTAS
15 ,1:36.449 ,44 ,1:33.038 ,77 ,V. BOTTAS
16 ,1:34.433 ,45 ,1:33.136 ,77 ,V. BOTTAS
17 ,2:06.484 ,46 ,1:33.359 ,77 ,V. BOTTAS
18 ,20:31.528 ,47 ,1:33.292 ,77 ,V. BOTTAS
19 ,2:12.091 ,48 ,1:32.908 ,77 ,V. BOTTAS
20 ,1:34.326 ,49 ,1:32.986 ,77 ,V. BOTTAS
21 ,1:33.726 ,50 ,1:32.980 ,77 ,V. BOTTAS
22 ,1:33.363 ,51 ,1:32.725 ,77 ,V. BOTTAS
23 ,1:33.269 ,52 ,1:33.389 ,77 ,V. BOTTAS
24 ,1:33.386 ,53 ,1:33.710 ,77 ,V. BOTTAS
25 ,1:33.722 ,54 ,1:33.695 ,77 ,V. BOTTAS
26 ,1:33.396 ,55 ,1:33.715 ,77 ,V. BOTTAS
27 ,1:33.844 ,56 ,1:33.389 ,77 ,V. BOTTAS
28 ,1:33.272 ,57 ,1:33.886 ,77 ,V. BOTTAS
29 ,1:33.687,"","" ,77 ,V. BOTTAS
1 ,16:09:02 ,10 ,1:38.702 ,88 ,R. HARYANTO
2 ,1:35.893 ,11 ,1:36.607 ,88 ,R. HARYANTO
3 ,1:35.186 ,12 ,1:56.553 ,88 ,R. HARYANTO
4 ,1:34.737 ,13 ,1:41.214 ,88 ,R. HARYANTO
5 ,1:34.675 ,14 ,1:33.861 ,88 ,R. HARYANTO
6 ,1:34.778 ,15 ,1:33.847 ,88 ,R. HARYANTO
7 ,1:35.497 ,16 ,1:33.901 ,88 ,R. HARYANTO
8 ,1:35.724 ,17 ,2:03.132 ,88 ,R. HARYANTO
9 ,1:35.719,"","" ,88 ,R. HARYANTO
1 ,16:08:59 ,29 ,1:34.602 ,94 ,P. WEHRLEIN
2 ,1:35.390 ,30 ,1:34.833 ,94 ,P. WEHRLEIN
3 ,1:34.712 ,31 ,1:34.280 ,94 ,P. WEHRLEIN
4 ,1:34.109 ,32 ,1:54.777 ,94 ,P. WEHRLEIN
5 ,1:34.235 ,33 ,1:41.297 ,94 ,P. WEHRLEIN
6 ,1:34.767 ,34 ,1:32.673 ,94 ,P. WEHRLEIN
7 ,1:35.296 ,35 ,1:32.972 ,94 ,P. WEHRLEIN
8 ,1:34.817 ,36 ,1:33.064 ,94 ,P. WEHRLEIN
9 ,1:34.821 ,37 ,1:33.682 ,94 ,P. WEHRLEIN
10 ,1:35.816 ,38 ,1:35.761 ,94 ,P. WEHRLEIN
11 ,1:57.340 ,39 ,1:33.994 ,94 ,P. WEHRLEIN
12 ,1:41.436 ,40 ,1:34.316 ,94 ,P. WEHRLEIN
13 ,1:33.702 ,41 ,1:35.147 ,94 ,P. WEHRLEIN
14 ,1:33.717 ,42 ,1:36.344 ,94 ,P. WEHRLEIN
15 ,1:34.160 ,43 ,1:36.021 ,94 ,P. WEHRLEIN
16 ,1:35.345 ,44 ,1:34.458 ,94 ,P. WEHRLEIN
17 ,2:02.855 ,45 ,1:35.023 ,94 ,P. WEHRLEIN
18 ,20:23.494 ,46 ,1:35.005 ,94 ,P. WEHRLEIN
19 ,2:02.989 ,47 ,1:36.832 ,94 ,P. WEHRLEIN
20 ,1:36.221 ,48 ,1:35.026 ,94 ,P. WEHRLEIN
21 ,1:36.756 ,49 ,1:38.154 ,94 ,P. WEHRLEIN
22 ,1:34.196 ,50 ,1:35.044 ,94 ,P. WEHRLEIN
23 ,1:34.275 ,51 ,1:35.305 ,94 ,P. WEHRLEIN
24 ,1:34.924 ,52 ,1:37.491 ,94 ,P. WEHRLEIN
25 ,1:35.789 ,53 ,1:37.817 ,94 ,P. WEHRLEIN
26 ,1:34.564 ,54 ,1:42.631 ,94 ,P. WEHRLEIN
27 ,1:35.097 ,55 ,1:38.969 ,94 ,P. WEHRLEIN
28 ,1:34.506 ,56 ,1:37.329 ,94 ,P. WEHRLEIN
