LAP,TIME,LAP_2,TIME_2,NO,DRIVER
3 ,1:35.009 ,22 ,1:34.609 ,9 ,M. ERICSSON
4 ,1:34.191 ,23 ,1:35.061 ,9 ,M. ERICSSON
5 ,1:34.229 ,24 ,1:34.833 ,9 ,M. ERICSSON
6 ,1:34.485 ,25 ,1:34.769 ,9 ,M. ERICSSON
7 ,1:35.389 ,26 ,1:35.016 ,9 ,M. ERICSSON
8 ,1:35.242 ,27 ,1:48.103 ,9 ,M. ERICSSON
9 ,1:36.119 ,28 ,1:42.452 ,9 ,M. ERICSSON
10 ,1:35.636 ,29 ,1:34.622 ,9 ,M. ERICSSON
11 ,1:54.650 ,30 ,1:34.536 ,9 ,M. ERICSSON
12 ,1:39.328 ,31 ,1:34.503 ,9 ,M. ERICSSON
13 ,1:33.942 ,32 ,1:35.213 ,9 ,M. ERICSSON
14 ,1:34.125 ,33 ,1:34.907 ,9 ,M. ERICSSON
15 ,1:33.892 ,34 ,1:34.395 ,9 ,M. ERICSSON
16 ,1:34.354 ,35 ,1:34.314 ,9 ,M. ERICSSON
17 ,2:00.901 ,36 ,1:34.437 ,9 ,M. ERICSSON
18 ,20:22.582 ,37 ,1:34.117 ,9 ,M. ERICSSON
19 ,2:07.300 ,38 ,1:34.090 ,9 ,M. ERICSSON
1 ,16:08:58 ,30 ,1:32.942 ,11 ,S. PEREZ
2 ,1:35.015 ,31 ,1:33.052 ,11 ,S. PEREZ
3 ,1:34.312 ,32 ,1:33.490 ,11 ,S. PEREZ
4 ,1:34.222 ,33 ,1:34.794 ,11 ,S. PEREZ
5 ,1:34.385 ,34 ,1:34.940 ,11 ,S. PEREZ
6 ,1:34.097 ,35 ,1:33.888 ,11 ,S. PEREZ
7 ,1:34.469 ,36 ,1:33.107 ,11 ,S. PEREZ
8 ,1:34.576 ,37 ,1:33.559 ,11 ,S. PEREZ
9 ,1:34.461 ,38 ,1:33.292 ,11 ,S. PEREZ
10 ,1:34.297 ,39 ,1:32.780 ,11 ,S. PEREZ
11 ,1:34.714 ,40 ,1:33.714 ,11 ,S. PEREZ
12 ,1:34.800 ,41 ,1:33.500 ,11 ,S. PEREZ
13 ,1:34.302 ,42 ,1:33.284 ,11 ,S. PEREZ
14 ,1:34.848 ,43 ,1:33.046 ,11 ,S. PEREZ
15 ,1:35.654 ,44 ,1:33.790 ,11 ,S. PEREZ
16 ,1:57.573 ,45 ,1:33.156 ,11 ,S. PEREZ
17 ,2:05.086 ,46 ,1:33.441 ,11 ,S. PEREZ
18 ,20:21.249 ,47 ,1:33.364 ,11 ,S. PEREZ
19 ,2:10.119 ,48 ,1:33.294 ,11 ,S. PEREZ
20 ,1:34.148 ,49 ,1:33.455 ,11 ,S. PEREZ
21 ,1:34.743 ,50 ,1:33.534 ,11 ,S. PEREZ
22 ,1:34.056 ,51 ,1:33.046 ,11 ,S. PEREZ
23 ,1:33.676 ,52 ,1:33.308 ,11 ,S. PEREZ
24 ,1:34.328 ,53 ,1:33.256 ,11 ,S. PEREZ
25 ,1:33.952 ,54 ,1:33.757 ,11 ,S. PEREZ
26 ,1:34.380 ,55 ,1:36.359 ,11 ,S. PEREZ
27 ,1:34.349 ,56 ,1:34.325 ,11 ,S. PEREZ
28 ,1:34.402 ,57 ,1:35.236 ,11 ,S. PEREZ
29 ,1:33.263,"","" ,11 ,S. PEREZ
1 ,16:09:01 ,29 ,1:34.421 ,12 ,F. NASR
2 ,1:35.315 ,30 ,1:34.449 ,12 ,F. NASR
3 ,1:35.265 ,31 ,1:34.154 ,12 ,F. NASR
4 ,1:34.430 ,32 ,1:34.422 ,12 ,F. NASR
5 ,1:35.644 ,33 ,1:33.392 ,12 ,F. NASR
6 ,1:34.993 ,34 ,1:33.617 ,12 ,F. NASR
7 ,1:35.145 ,35 ,1:33.695 ,12 ,F. NASR
8 ,1:35.292 ,36 ,1:33.407 ,12 ,F. NASR
9 ,1:35.640 ,37 ,1:33.252 ,12 ,F. NASR
10 ,1:56.813 ,38 ,1:33.518 ,12 ,F. NASR
11 ,1:38.064 ,39 ,1:33.065 ,12 ,F. NASR
12 ,1:33.520 ,40 ,1:33.393 ,12 ,F. NASR
13 ,1:33.673 ,41 ,1:33.352 ,12 ,F. NASR
14 ,1:33.934 ,42 ,1:33.274 ,12 ,F. NASR
15 ,1:34.165 ,43 ,1:32.841 ,12 ,F. NASR
16 ,1:34.965 ,44 ,1:33.216 ,12 ,F. NASR
17 ,2:03.067 ,45 ,1:33.110 ,12 ,F. NASR
18 ,20:22.819 ,46 ,1:33.029 ,12 ,F. NASR
19 ,2:04.244 ,47 ,1:32.772 ,12 ,F. NASR
20 ,1:36.692 ,48 ,1:32.711 ,12 ,F. NASR
21 ,1:34.737 ,49 ,1:32.990 ,12 ,F. NASR
22 ,1:34.485 ,50 ,1:32.980 ,12 ,F. NASR
23 ,1:35.001 ,51 ,1:32.761 ,12 ,F. NASR
24 ,1:34.874 ,52 ,1:32.913 ,12 ,F. NASR
25 ,1:38.057 ,53 ,1:32.768 ,12 ,F. NASR
26 ,1:35.269 ,54 ,1:34.267 ,12 ,F. NASR
27 ,1:34.669 ,55 ,1:35.929 ,12 ,F. NASR
28 ,1:34.858 ,56 ,1:38.282 ,12 ,F. NASR
1 ,16:08:57 ,9 ,1:34.347 ,14 ,F. ALONSO
2 ,1:34.787 ,10 ,1:34.455 ,14 ,F. ALONSO
3 ,1:34.252 ,11 ,1:34.760 ,14 ,F. ALONSO
4 ,1:34.307 ,12 ,1:52.637 ,14 ,F. ALONSO
5 ,1:33.908 ,13 ,1:37.948 ,14 ,F. ALONSO
6 ,1:34.359 ,14 ,1:32.553 ,14 ,F. ALONSO
7 ,1:34.426 ,15 ,1:33.123 ,14 ,F. ALONSO
8 ,1:34.373 ,16 ,1:34.542 ,14 ,F. ALONSO
1 ,16:08:53 ,30 ,1:32.951 ,19 ,F. MASSA
2 ,1:32.927 ,31 ,1:32.561 ,19 ,F. MASSA
3 ,1:33.309 ,32 ,1:32.741 ,19 ,F. MASSA
4 ,1:34.503 ,33 ,1:32.966 ,19 ,F. MASSA
5 ,1:33.119 ,34 ,1:32.936 ,19 ,F. MASSA
6 ,1:33.225 ,35 ,1:32.732 ,19 ,F. MASSA
7 ,1:33.651 ,36 ,1:32.780 ,19 ,F. MASSA
8 ,1:33.843 ,37 ,1:32.304 ,19 ,F. MASSA
9 ,1:34.525 ,38 ,1:32.425 ,19 ,F. MASSA
10 ,1:36.129 ,39 ,1:32.288 ,19 ,F. MASSA
11 ,1:51.982 ,40 ,1:32.599 ,19 ,F. MASSA
12 ,1:38.104 ,41 ,1:32.517 ,19 ,F. MASSA
13 ,1:32.344 ,42 ,1:32.748 ,19 ,F. MASSA
14 ,1:33.412 ,43 ,1:32.710 ,19 ,F. MASSA
15 ,1:34.543 ,44 ,1:33.077 ,19 ,F. MASSA
16 ,1:32.710 ,45 ,1:32.837 ,19 ,F. MASSA
17 ,1:52.024 ,46 ,1:33.449 ,19 ,F. MASSA
18 ,20:43.269 ,47 ,1:32.893 ,19 ,F. MASSA
19 ,2:15.431 ,48 ,1:33.168 ,19 ,F. MASSA
20 ,1:33.776 ,49 ,1:33.090 ,19 ,F. MASSA
21 ,1:32.816 ,50 ,1:33.751 ,19 ,F. MASSA
22 ,1:32.911 ,51 ,1:33.080 ,19 ,F. MASSA
23 ,1:32.760 ,52 ,1:33.218 ,19 ,F. MASSA
24 ,1:32.775 ,53 ,1:33.614 ,19 ,F. MASSA
25 ,1:32.803 ,54 ,1:33.622 ,19 ,F. MASSA
26 ,1:32.530 ,55 ,1:33.818 ,19 ,F. MASSA
27 ,1:33.052 ,56 ,1:34.001 ,19 ,F. MASSA
28 ,1:32.812 ,57 ,1:34.562 ,19 ,F. MASSA
29 ,1:32.797,"","" ,19 ,F. MASSA
1 ,16:10:13 ,30 ,1:33.539 ,20 ,K. MAGNUSSEN
2 ,1:46.207 ,31 ,1:33.508 ,20 ,K. MAGNUSSEN
3 ,1:37.229 ,32 ,1:33.585 ,20 ,K. MAGNUSSEN
4 ,1:34.720 ,33 ,1:33.838 ,20 ,K. MAGNUSSEN
5 ,1:35.346 ,34 ,1:33.718 ,20 ,K. MAGNUSSEN
6 ,1:43.453 ,35 ,1:33.306 ,20 ,K. MAGNUSSEN
7 ,1:34.917 ,36 ,1:33.004 ,20 ,K. MAGNUSSEN
8 ,1:35.742 ,37 ,1:32.789 ,20 ,K. MAGNUSSEN
9 ,1:35.633 ,38 ,1:32.783 ,20 ,K. MAGNUSSEN
10 ,1:37.304 ,39 ,1:32.791 ,20 ,K. MAGNUSSEN
11 ,1:37.254 ,40 ,1:33.244 ,20 ,K. MAGNUSSEN
12 ,1:35.206 ,41 ,1:33.320 ,20 ,K. MAGNUSSEN
