77 ,55.356 ,1:55.732
9 ,59.896 ,1:57.122
12 ,69.709 ,1:57.045
14 ,81.051 ,1:56.706
22 ,104.638 ,1:57.671
44 ,0,1:54.315
6 ,4.157 ,1:55.194
98 ,1 LAP ,1:59.132
28 ,1 LAP ,1:59.448
5 ,25.397 ,1:55.808
8 ,29.495 ,1:55.414
26 ,37.365 ,1:56.751
11 ,39.937 ,1:55.141
19 ,42.147 ,1:54.935
7 ,44.125 ,1:54.570
33 ,46.019 ,1:55.220
77 ,56.461 ,1:55.420
9 ,62.968 ,1:57.387
55 ,PIT  ,2:03.779
12 ,73.043 ,1:57.649
14 ,83.580 ,1:56.844
22 ,108.005 ,1:57.682
44 ,0,1:54.550
6 ,4.847 ,1:55.240
98 ,1 LAP ,1:59.367
28 ,1 LAP ,1:59.330
5 ,26.612 ,1:55.765
8 ,30.676 ,1:55.731
26 ,39.122 ,1:56.307
11 ,40.756 ,1:55.369
19 ,42.755 ,1:55.158
7 ,44.780 ,1:55.205
33 ,46.979 ,1:55.510
77 ,56.698 ,1:54.787
9 ,65.615 ,1:57.197
12 ,75.720 ,1:57.227
55 ,2 LAPS ,2:09.008
14 ,85.968 ,1:56.938
22 ,111.020 ,1:57.565
44 ,0,1:54.880
6 ,5.047 ,1:55.080
98 ,1 LAP ,1:59.412
28 ,1 LAP ,1:59.298
5 ,27.588 ,1:55.856
8 ,31.107 ,1:55.311
11 ,40.990 ,1:55.114
19 ,42.741 ,1:54.866
26 ,PIT  ,2:00.629
7 ,45.021 ,1:55.121
33 ,47.443 ,1:55.344
77 ,56.725 ,1:54.907
9 ,67.683 ,1:56.948
55 ,2 LAPS ,1:54.680
12 ,PIT  ,2:01.768
14 ,87.558 ,1:56.470
44 ,0,1:54.443
22 ,1 LAP ,1:58.827
6 ,5.402 ,1:54.798
98 ,1 LAP ,1:59.336
28 ,1 LAP ,1:59.300
5 ,28.696 ,1:55.551
8 ,32.292 ,1:55.628
11 ,41.547 ,1:55.000
19 ,43.373 ,1:55.075
7 ,45.772 ,1:55.194
33 ,48.325 ,1:55.325
77 ,57.116 ,1:54.834
26 ,57.467 ,2:07.039
9 ,PIT  ,2:01.677
55 ,2 LAPS ,1:54.803
14 ,89.694 ,1:56.579
12 ,95.761 ,2:07.596
44 ,0,1:54.844
22 ,1 LAP ,1:57.454
6 ,5.529 ,1:54.971
98 ,1 LAP ,1:59.195
5 ,29.168 ,1:55.316
8 ,33.065 ,1:55.617
28 ,1 LAP ,2:01.395
11 ,41.499 ,1:54.796
19 ,43.436 ,1:54.907
7 ,46.123 ,1:55.195
33 ,49.193 ,1:55.712
26 ,55.655 ,1:53.032
77 ,57.982 ,1:55.710
55 ,2 LAPS ,1:55.302
9 ,91.308 ,2:11.235
14 ,91.879 ,1:57.029
12 ,94.908 ,1:53.991
44 ,PIT  ,2:00.323
6 ,1.369 ,1:56.163
22 ,1 LAP ,2:00.627
5 ,24.368 ,1:55.523
8 ,28.761 ,1:56.019
98 ,PIT  ,2:05.604
28 ,1 LAP ,1:59.939
11 ,36.531 ,1:55.355
19 ,37.943 ,1:54.830
7 ,40.317 ,1:54.517
33 ,44.369 ,1:55.499
26 ,49.167 ,1:53.835
77 ,52.562 ,1:54.903
55 ,2 LAPS ,1:55.392
9 ,85.007 ,1:54.022
14 ,88.590 ,1:57.034
12 ,89.155 ,1:54.570
22 ,121.452 ,1:58.014
6 ,PIT  ,2:00.170
44 ,6.084 ,2:07.623
5 ,18.261 ,1:55.432
8 ,22.416 ,1:55.194
11 ,30.688 ,1:55.696
19 ,31.864 ,1:55.460
7 ,33.960 ,1:55.182
28 ,PIT  ,2:05.474
33 ,38.451 ,1:55.621
26 ,41.682 ,1:54.054
98 ,1 LAP ,2:13.863
77 ,45.922 ,1:54.899
55 ,2 LAPS ,1:55.637
9 ,78.315 ,1:54.847
12 ,82.106 ,1:54.490
14 ,85.037 ,1:57.986
22 ,118.193 ,1:58.280
44 ,0,1:53.893
6 ,5.701 ,2:05.678
5 ,13.727 ,1:55.443
8 ,17.482 ,1:55.043
11 ,26.353 ,1:55.642
19 ,27.026 ,1:55.139
7 ,29.046 ,1:55.063
26 ,35.539 ,1:53.834
33 ,PIT  ,2:00.032
77 ,41.128 ,1:55.183
98 ,1 LAP ,1:58.904
28 ,1 LAP ,2:14.082
55 ,2 LAPS ,1:56.046
9 ,73.114 ,1:54.776
12 ,76.763 ,1:54.634
14 ,PIT  ,2:01.603
44 ,0,1:53.188
22 ,1 LAP ,1:59.674
6 ,5.182 ,1:52.669
5 ,16.036 ,1:55.497
8 ,19.593 ,1:55.299
11 ,28.529 ,1:55.364
19 ,29.326 ,1:55.488
7 ,30.675 ,1:54.817
26 ,35.915 ,1:53.564
77 ,43.019 ,1:55.079
98 ,1 LAP ,1:58.174
33 ,51.595 ,2:06.277
28 ,1 LAP ,1:59.217
55 ,2 LAPS ,1:55.343
9 ,74.409 ,1:54.483
12 ,78.389 ,1:54.814
14 ,104.678 ,2:11.203
44 ,0,1:52.504
6 ,5.094 ,1:52.416
22 ,1 LAP ,1:58.944
5 ,19.293 ,1:55.761
8 ,22.093 ,1:55.004
11 ,31.056 ,1:55.031
19 ,32.002 ,1:55.180
7 ,33.444 ,1:55.273
26 ,37.191 ,1:53.780
77 ,45.457 ,1:54.942
33 ,52.516 ,1:53.425
98 ,1 LAP ,1:59.226
28 ,1 LAP ,1:58.150
55 ,PIT  ,2:00.801
9 ,76.692 ,1:54.787
12 ,81.264 ,1:55.379
14 ,105.866 ,1:53.692
44 ,0,1:52.766
6 ,4.887 ,1:52.559
22 ,1 LAP ,1:59.076
5 ,22.411 ,1:55.884
8 ,24.660 ,1:55.333
11 ,33.809 ,1:55.519
19 ,34.597 ,1:55.361
7 ,36.304 ,1:55.626
26 ,38.231 ,1:53.806
77 ,47.801 ,1:55.110
33 ,53.139 ,1:53.389
98 ,1 LAP ,1:58.622
28 ,1 LAP ,1:58.447
9 ,79.056 ,1:55.130
12 ,84.070 ,1:55.572
14 ,109.443 ,1:56.343
44 ,0,1:52.748
6 ,4.650 ,1:52.511
5 ,25.374 ,1:55.711
8 ,27.223 ,1:55.311
22 ,PIT  ,2:03.412
11 ,36.954 ,1:55.893
19 ,37.616 ,1:55.767
7 ,39.083 ,1:55.527
26 ,39.699 ,1:54.216
77 ,49.894 ,1:54.841
33 ,53.667 ,1:53.276
98 ,1 LAP ,1:58.291
28 ,1 LAP ,1:58.388
9 ,81.845 ,1:55.537
12 ,87.397 ,1:56.075
44 ,0,1:53.774
14 ,1 LAP ,1:57.827
6 ,4.432 ,1:53.556
5 ,27.120 ,1:55.520
8 ,28.228 ,1:54.779
11 ,38.802 ,1:55.622
19 ,39.663 ,1:55.821
26 ,40.169 ,1:54.244
7 ,41.814 ,1:56.505
22 ,1 LAP ,2:09.569
